parent_tweet,reply_tweet
"#SYDNEYSIEGE: Hostage-takers ‘have suicide belts, demand radio convo with #Abbott’ – report http://t.co/1ZlzKDjvSf http://t.co/7Jej7i4SlO",@RT_com THEY JUST COULD NOT HAVE PICKED A MORE CONVENIENT TIME FOR.....THE USA GOVERNMEMT....JOHN MCCAIN STOP IT WITH YOUR PAID TERRORISTS!
"#SYDNEYSIEGE: Hostage-takers ‘have suicide belts, demand radio convo with #Abbott’ – report http://t.co/1ZlzKDjvSf http://t.co/7Jej7i4SlO",@RT_com @AnonymTipster another Israeli false flag operation? This is what Abbott had been PRAYING for.
"#SYDNEYSIEGE: Hostage-takers ‘have suicide belts, demand radio convo with #Abbott’ – report http://t.co/1ZlzKDjvSf http://t.co/7Jej7i4SlO",@aprilritchey when it started to appear on M$M the narrative was the same. ..Like say a Script..I mean 'goverMENt press release ..fishy..:(
"#SYDNEYSIEGE: Hostage-takers ‘have suicide belts, demand radio convo with #Abbott’ – report http://t.co/1ZlzKDjvSf http://t.co/7Jej7i4SlO",@aprilritchey has already. .msm may start interviewing CrISIS actors soon. ..
"#SYDNEYSIEGE: Hostage-takers ‘have suicide belts, demand radio convo with #Abbott’ – report http://t.co/1ZlzKDjvSf http://t.co/7Jej7i4SlO","@1drngju @Perseus009 @RT_com @AnonymTipster if you're part of the establishment then you're part of the problem. 
#CUNT"
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO",@DailyMailAU hmm
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO",@FoxNews looks like a bomb disposal robot is getting ready to go in
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO","@FoxNews   Boil him in pig fat, I.e. Lard."
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO","@FoxNews @AmericaNewsroom The corrupt Congress just funded Obama's illegal amnesty, but Fox will distract viewers with Sydney, Sydney......."
#UPDATE Three men including two brothers identified in France newspaper attack: source http://t.co/5NoNuqJSu1 #JeSuisCharlie #CharlieHebdo,@AFP Go to hell #CharlieHebdo
"(@TheDailyEdge @marstu67 :'Darren Wilson, #FergusonMO. (cop) who shot #MikeBrown reportedly skipped town with his family days ago.'","@TheDailyEdge @marstu67 @MHPshow #nerdland @RealAlexJones #mediabuzz 
#ANHQDC @MikeHuckabeeNH"
***EXCLUSIVE*** Michael Zahaf-Bibeau caught on a #DASHCAM model sold at http://t.co/62s1bT3ecH #OttawaShooting http://t.co/LpnqAKsHZw,@nwhiteway @cnnbrk ITS STILL IMPORTANT
*Mutes Universe*,@BklynMiddleton really sad. Ever seen fotos of gaza babies ? All babies r equal i suppose
*Mutes Universe*,*Mutes Universe*
. @LoveNotH81 @dorome80 Just heard: No survivors 😥,@verylastone @dorome80 😢 that's terrible
. @tikikate has claimed @CBSThisMorning aired one of the hostage videos. #SydneySiege #MartinPlace,"@SkyNews @nitingokhale wish NDTV &amp; other can learn even 1% from this, NDTV costed soldiers' lives in kargil and lives in 26/11 too, Said SC"
".@140elect @AkaDimiX ""Kid"".  He was just a harmless little baby, just got out of kindergarten...",@140elect Fox News will talk about it now
".@140elect @AkaDimiX ""Kid"".  He was just a harmless little baby, just got out of kindergarten...","@140elect Or, for all we know, it's standard practice."
".@AkaDimiX @140elect B/c that's the obvious lie. Everything else theoretically could've happened. But 6'4, 290 pound man is no ""kid"".",@AkaDimiX @140elect It is.  I'm calling out this shit media every time now.  I had the reaction everyone did when they saw Trayvon's pic.
.@AlwaysThinkHow @MsRock4Ever - Barney Fife would have tried to pull #MikeBrown through a window too. Shades of Ernest T. Bass #Ferguson,.@AlwaysThinkHow @MsRock4Ever - Barney Fife would have tried to pull #MikeBrown through a window too. Shades of Ernest T. Bass #Ferguson
.@AlwaysThinkHow @MsRock4Ever - Barney Fife would have tried to pull #MikeBrown through a window too. Shades of Ernest T. Bass #Ferguson,"Agreed, Dante! @DanteB4u @AlwaysThinkHow"
.@AlwaysThinkHow @MsRock4Ever - Barney Fife would have tried to pull #MikeBrown through a window too. Shades of Ernest T. Bass #Ferguson,@MsRock4Ever @walteredwards2 @DanteB4u Yes!
".@AP I demand you retract the lie that people in #Ferguson were shouting ""kill the police"", local reporting has refuted your ugly racism",@ValMackinnon @TimmyTurnUp @MichaelSkolnik @Supreme___Power perfect!!)) Like Daniel Craig throw his GF to the window. White girls smart ;-)
.@bucci2028 @orangeseahorse @Alasscan_  - Wilson knew he intentionally killed an alleged suspect trying to surrender to him &amp; people saw it.,@DanteB4u @orangeseahorse @Alasscan_ The let him die so he could not talk. Police station learned of shooting from the news not Wilson
.@bucci2028 @orangeseahorse @Alasscan_  - Wilson knew he intentionally killed an alleged suspect trying to surrender to him &amp; people saw it.,.@bucci2028 @orangeseahorse @Alasscan_  - Wilson knew he intentionally killed an alleged suspect trying to surrender to him &amp; people saw it.
.@bucci2028 @orangeseahorse @Alasscan_  - Wilson knew he intentionally killed an alleged suspect trying to surrender to him &amp; people saw it.,@DanteB4u @orangeseahorse @Alasscan_ I know : (  but sicker part is we don't know if Michael was dead or the let him die so he couldn't talk
.@bucci2028 @orangeseahorse @Alasscan_  - Wilson knew he intentionally killed an alleged suspect trying to surrender to him &amp; people saw it.,AND that attitude will be their downfall too. Bet on it. @walteredwards2 @jaggy123 @DanteB4u
.@cnni ITS A KOSHER JEWISH SUPERMARKET. THEY CHOSE IT FOR A REASON. YOU CONVENIENTLY LEFT THAT OUT #JeSuisJuif,"@cnni ask this coverage reminds me of the song ""villain"" by the verve pipe."
.@cnni ITS A KOSHER JEWISH SUPERMARKET. THEY CHOSE IT FOR A REASON. YOU CONVENIENTLY LEFT THAT OUT #JeSuisJuif,"@erikscustoms @cnni Use an LRAD on the hostage taker, &amp; if the hostages feel the affect too, they won't die like the murderer. Bring him in"
.@cnni ITS A KOSHER JEWISH SUPERMARKET. THEY CHOSE IT FOR A REASON. YOU CONVENIENTLY LEFT THAT OUT #JeSuisJuif,@DAVIDMDRAIMAN @marrty96 Too late. The Charlie Hebdo terrorists are dead.
.@cnni ITS A KOSHER JEWISH SUPERMARKET. THEY CHOSE IT FOR A REASON. YOU CONVENIENTLY LEFT THAT OUT #JeSuisJuif,@DAVIDMDRAIMAN @marrty96 And the hostages at the kosher market have been freed. Happy for you David.
".@coreybking @nyblossom @CallsForJustice - No narrative will justify actions after the 2d shot, #MikeBrown surrendered, cop kept firing @CNN",".@coreybking @nyblossom @CallsForJustice - No narrative will justify actions after the 2d shot, #MikeBrown surrendered, cop kept firing @CNN"
.@EnglishEmma @universe93 Every #taxi can take a M40 $30 discount voucher. But then #guber isn't public transport.,@bmac_ottawa @Uber_Sydney Ah that makes sense then thanks
".@harrytuckerr No, you refused to pay for them to be at the phones. Enjoy your walk. @Uber_Sydney","@life19082492084 @EnglishEmma @universe93 Uber is covering the cost of all rides, Uber is paying drivers higher fares to get into the CBD."
.@JPantsdotcom @AkaDimiX @140elect Why do you start your question with a lie?,.@JPantsdotcom @AkaDimiX @140elect Why do you start your question with a lie?
".@marrty96 AND YET ITS NOT ON/IN THE TWEET/HEADLINE. AS USUAL. &amp; DONT FUCKING TELL ME TO RELAX.
THIS IS THE SAME NETWORK THAT REPORTED THE-",".@marrty96 AND YET ITS NOT ON/IN THE TWEET/HEADLINE. AS USUAL. &amp; DONT FUCKING TELL ME TO RELAX.
THIS IS THE SAME NETWORK THAT REPORTED THE-"
".@marrty96 -SO SAVE ME THE FUCKING LECTURE, AND WHEN MY FELLOW TRIBE MEMBERS ARE BEING HELD HOSTAGE, DONT DARE TELL ME TO CALM DOWN.",".@marrty96 -SO SAVE ME THE FUCKING LECTURE, AND WHEN MY FELLOW TRIBE MEMBERS ARE BEING HELD HOSTAGE, DONT DARE TELL ME TO CALM DOWN."
".@mmwlawtaos @KatEdmiston - #Ferguson PD tried to justify probable cause, even 1st &amp; 2d shot, everything after = premeditated murder.","@DanteB4u @Maggyw519 @orangeseahorse @Alasscan_  It doesn't matter if you are police, gang, or neighborhood watch. Life means more."
.@mmwlawtaos @KatEdmiston - Spin still doesn't justify the murder versus the arrest. Why did the #Ferguson officer not call for backup?,@Alasscan_ @DanteB4u It's a LIE. Police originally said confrontation started b/c cop told Michael to get out of street &amp; walk on sidewalk.
".@Mr_Odin No, they presumed their customers weren't economic illiterates. They presumed wrong. @JonnyPut @Uber_Sydney @AndrewCrow","@Mr_Odin @Uber_Sydney Man, you're dumb. Sorry for saying anything,  dummy."
".@MsRock4Ever @AlwaysThinkHow - The Barney Fife fear is real in #Ferguson, total excessive force is common practice. This was a murder!",And at least Barney Fife would have been HONEST from the first hour. @DanteB4u @AlwaysThinkHow
".@orangeseahorse @Alasscan_ - Even if robbery took place &amp; stop legal, actions after 1st &amp; 2d shot &amp; after #MikeBrown put #HandsUp = MURDER","@DanteB4u IMO no shot should've happened. Call was unarmed suspect, cop had full description, easy to find where he lived @orangeseahorse"
.@SharriMarkson Your stupidity is beyond belief. Just stop if you are capable of that.,@pearlyfootball @SharriMarkson @australian put a bullet in the wankers head
.@SharriMarkson Your stupidity is beyond belief. Just stop if you are capable of that.,@pearlyfootball exactly what i was thinking
@_icla_ @BBCBreaking In this case for Germany and Spain as well...:-(,“@BBCBreaking: King Felipe VI of Spain cancels state visit to France after #Germanwings crash http://t.co/wAKIEsJ7lG http://t.co/qv3Tf8v7NS”
@_spookyboobs @dmatthewmillar right &amp; terrorist don't have access to social media to find out where we have placed that valuable security!,@Russell_Barth @devo1400 @spaikin I've had concerns about that for a while
@140elect compare the pix... store dude in flip-flops. Mike Brown- pix look like running shoes? (need better pix of Mike Brown in street),@140elect exactly. if the criminal commits strong-arm robbery but has no weapon when he grasps for the officers he should be let go.
@140elect exactly. if the criminal commits strong-arm robbery but has no weapon when he grasps for the officers he should be let go.,"Shoot unarmed kid.
Conceal evidence.
Impose martial law.
Harass reporters.
Smear the victim.
Worst. Police. Ever.

| @140elect 
#Ferguson MT"
@140elect Here are pixs I have. http://t.co/jn6wWj5pVW,@140elect Here are pixs I have. http://t.co/jn6wWj5pVW
@140elect just think how this story would be if the cop was black and the vic was white,@140elect @Upsilon_Ab It's almost like the local cops are pissed it was so calm last night and want to inflame public opinion again
@1drngju @aprilritchey my 11 yr old would outwit you moron. ..:) blocked,@AnonymTipster @RT_com he will up oz's military budget then become a huge consultant / board member to 'defense' companies when he retires.
"@1drngju @Perseus009 @RT_com @AnonymTipster if you're part of the establishment then you're part of the problem. 
#CUNT","@aprilritchey @psc96180_pablo 

that statement doesn't make you less stupid. Get yourself to Perth; the zoo of the future needs its idiot"
@20committee the incident yesterday (car) in Canada was that a terrorist attack as well?,"@20committee @kshaidle It makes more sense to let them leave, and invalidate their passports before they return."
@29plussome @LisaBloom i relistened to the press conf &amp; ur right i was wrong,@29plussome @LisaBloom i relistened to the press conf &amp; ur right i was wrong
@7NewsSydney @jewelsparkle3 @Y7News Surprised that Kochie's not there giving his expert opinion. Or even offering himself as an intermediary,@7NewsSydney @jewelsparkle3 @Y7News Surprised that Kochie's not there giving his expert opinion. Or even offering himself as an intermediary
@7NewsSydney @Y7News Stick to the facts and stop trying to scare thr australian puplic!,"@7NewsSydney @Fitzzer777 @Y7News Yes, it's called ""Islam."""
@905fishingguy @CBCAlerts How can you shoot the guard at a war memorial.  #HonorThoseThatServed,@trianglman @jxchristopher @CBCAlerts until there's a terrorist attack on a legal shooting range they may as well be.
@9NewsSyd @marilynmaupin Should have snipered him.,@9NewsSyd @marilynmaupin Should have snipered him.
@a_man_in_black @andybankertv @FOX2now @tomman1 And also obliterating your attempt to deny that he was the person that robbed the store,@a_man_in_black @andybankertv @FOX2now @tomman1 And also obliterating your attempt to deny that he was the person that robbed the store
@a_man_in_black @andybankertv @FOX2now @tomman1 dude give it up. It's him. Confirmed.,@a_man_in_black @andybankertv @FOX2now @tomman1 dude give it up. It's him. Confirmed.
@a_man_in_black @andybankertv @FOX2now Dorian Johnson just confirmed it was them. What now? #blackdenial,@lilfer1234 @andybankertv @FOX2now or is that impossible because the police would never be capable of unscrupulous behavior?
@a_man_in_black @andybankertv @FOX2now Dorian Johnson just confirmed it was them. What now? #blackdenial,"@lilfer1234 @andybankertv @FOX2now im not saying you did, but that is what has been implied the entire course of this investigation"
@a_man_in_black @andybankertv @FOX2now Dorian Johnson just confirmed it was them. What now? #blackdenial,"@tomman191 @andybankertv @FOX2now but you have two pictures of people with different clothes, and an eyewitness who says it wasn't him"
@a_man_in_black @andybankertv @FOX2now Dorian Johnson just confirmed it was them. What now? #blackdenial,@lilfer1234 @andybankertv @FOX2now and the last time i checked the eyewitness testimony overrides the testimony of the defident's friends
@a_man_in_black @andybankertv @FOX2now it's obviously the same people and there's a confession,@a_man_in_black @andybankertv @FOX2now it's obviously the same people and there's a confession
@a_man_in_black @andybankertv @FOX2now snitches get stitches in the hood. Store owner knows. #blackdenial #changeyourculture,@a_man_in_black @andybankertv @FOX2now snitches get stitches in the hood. Store owner knows. #blackdenial #changeyourculture
@ABC @VeraSweeney Can you please identify how LONG these have been ON? it is about 4p in that area. HOW MANY HOURS ON?,@ABC knew that an hour ago by the BBC  news
"@accordingtoame @mashable @PDPJ Take a look at college football players, roughly same size and maturity (in terms of looking older).",@KAEP555 @mashable He is large. In the store photos you have some prospective unlike the still photos.
@AdamGuerbuez followed you because of this,@AdamGuerbuez lone Wolf
"@Agent_Kindi&lt;&lt;&lt;~~~~It Is People Like You That #MURDER #UNARMEDBLACKS You Ask Why Is #Obama Still Alive.#RACIST 
#KKK #SMH @MichaelSkolnik",@Agent_Kindi &lt;&lt;&lt; ~~~~@SecretService  The #SecretService Protects #Obama #PresidentObama He Get's Threats All The Time.@MichaelSkolnik
"@Agent_Kindi&lt;&lt;&lt;~~~~It Is People Like You That #MURDER #UNARMEDBLACKS You Ask Why Is #Obama Still Alive.#RACIST 
#KKK #SMH @MichaelSkolnik","@Agent_Kindi&lt;&lt;&lt;~~~~It Is People Like You That #MURDER #UNARMEDBLACKS You Ask Why Is #Obama Still Alive.#RACIST 
#KKK #SMH @MichaelSkolnik"
@agentbell4272 @YourAnonLive why robbery..whats the difference between shoplift or robbery..I have not read report yet,@iRondrea @nickk330 @YourAnonLive they have the whole thing on video..
@Ahmed__Hussain_ @ummsalama15_ One definition? A person that thinks its ok to decapitate innocent journalists / aid workers,@rcallimachi @Sophia_MJones CBC is running a live blog and tweet thing here on the shootings: http://t.co/M4Ul1K8vzI
@Ahmed__Hussain_ @ummsalama15_ One definition? A person that thinks its ok to decapitate innocent journalists / aid workers,"@rcallimachi Cue the ""we won't be cowed by such dastardly acts"" speechs. *yawn*"
@Ahmed__Hussain_ @ummsalama15_ One definition? A person that thinks its ok to decapitate innocent journalists / aid workers,@rcallimachi @Sophia_MJones People R radicalising because their democracy is being radicalised by Elite.
@Ahmed__Hussain_ @ummsalama15_ One definition? A person that thinks its ok to decapitate innocent journalists / aid workers,"@rcallimachi @ummsalama15_ journalists are not innocent, hence the media blackout against IS by US. Journalism is a crime"
@Ahmed__Hussain_ @ummsalama15_ Some media owned by Jews. Some by Christians. Many by Muslims. You just have 2 have actually worked,@rcallimachi @ummsalama15_ Any intelligent individual can understand your bullshit and where you're loyalty lies. It ain't rocket science
@Ahmed__Hussain_ @ummsalama15_ There is no media blackout against IS in the US. Please open a newspaper for a change.,@Ahmed__Hussain_ @ummsalama15_ There is no media blackout against IS in the US. Please open a newspaper for a change.
"@Ahmed__Hussain_ @ummsalama15_ To be a journalist, you have to have worked in the profession &amp; abide by its rules. Not just spew propaganda",@rcallimachi @ummsalama15_ news reported by IS journalists dipstick
"@Ahmed__Hussain_ @ummsalama15_ To be a journalist, you have to have worked in the profession &amp; abide by its rules. Not just spew propaganda","@Ahmed__Hussain_ @ummsalama15_ To be a journalist, you have to have worked in the profession &amp; abide by its rules. Not just spew propaganda"
@AkaDimiX @140elect It is.  I'm calling out this shit media every time now.  I had the reaction everyone did when they saw Trayvon's pic.,"@DostoevskyShade @140elect 17 is a minor, 18's an adult.  Being big has no relevance."
"@AkaDimiX @140elect It's abt being fearful something bad could happen to you. A little kid is not reasonable fear. A dude taller than u, yes","@AkaDimiX @140elect It's abt being fearful something bad could happen to you. A little kid is not reasonable fear. A dude taller than u, yes"
"@AkaDimiX My grandfather enlisted in WWII when he was 17.  That's not a kid, despite the sissification of this nation.","@AkaDimiX Yes, let's have an investigation. But you think someone can drag that guy anywhere, let alone a window?  Nah."
"@Alasscan_ @DanteB4u Alasscan it's a lie. Pics are fake. No robbery was reported! If true, police would have said it last week to stop riots",@DanteB4u @Maggyw519 @orangeseahorse @Alasscan_   He is innocent of any death penalty offense. Even if assault is involved.
"@Alasscan_ @DanteB4u Alasscan it's a lie. Pics are fake. No robbery was reported! If true, police would have said it last week to stop riots",".@orangeseahorse @Alasscan_ - Even if robbery took place &amp; stop legal, actions after 1st &amp; 2d shot &amp; after #MikeBrown put #HandsUp = MURDER"
@Alasscan_ @DanteB4u It's a LIE. Police originally said confrontation started b/c cop told Michael to get out of street &amp; walk on sidewalk.,@DanteB4u Absolutely my point!!  @orangeseahorse
@alcanlin @kellyoxford great response bro.,@alcanlin @kellyoxford great response bro.
"@alfinitum @Uber_Sydney Yeah I think so. They're getting $100+, riders aren't wearing diff. Good gesture. Poor message transmission","@alfinitum @Uber_Sydney Yeah I think so. They're getting $100+, riders aren't wearing diff. Good gesture. Poor message transmission"
"@alfinitum @Uber_Sydney Yeah I think so. They're getting $100+, riders aren't wearing diff. Good gesture. Poor message transmission",@GRQconsultants Uber trips out of the CBD today are free to help Sydneysiders get home safely. See http://t.co/UIwoom25Bm
@AlwaysThinkHow @DanteB4u @MsRock4Ever Thank goodness the cops in #Ferguson aren't very bright. Makes it easier to sue their sorry asses!,@DanteB4u @orangeseahorse @Alasscan_ a riot not a robbery suspect apprehended.
@amuse @juliamacfarlane @dangillmor These men were clearly military trained...,@Techpaste @juliamacfarlane @dangillmor the bullet groupings were super tight for automatic fire...
"@amuse OK. But why precisely an ID, why not Seresta tablets? @juliamacfarlane @dangillmor",@hussain_aadil @juliamacfarlane @dangillmor it is not inconceivable that the terrorists were on anti-anxiety meds AND were amp'd.
"@amyminsky @cindyreddeer Okay, so what's been happening in Canada?",".@mariaenchanted @cherylfolland  yes, certainly a typo. @GlobalNational"
@andersostlund What are your thoughts on #WhereIsPutin?,Three Scenarios For A Succession In #Russia by @CoalsonR http://t.co/OqBqhFdKYk via @RFERL http://t.co/YE63oCPWNu v @andersostlund #Putin
"@Andrew_Denney @jessradio ""islamic flag""
#headdesk",@Andrew_Denney @PaulSandars I hope everyone gets out safely.
@andrewv @bmac_ottawa @Uber_Sydney cut the BS they wanted to surge price now back tracking @J_francis613 http://t.co/GzM8JqzBvQ,@Uber_Sydney @RunnaLittle Yeah...too late
@andybankertv @FOX2now Any chance that's being said for fear of retribution?,@JohnGerads @FOX2now actually I did use the word robbery
@andybankertv @FOX2now no doubt scared for his life. It's obviously mike brown in the video,@andybankertv @FOX2now no doubt scared for his life. It's obviously mike brown in the video
@angryblacklady Brilliant! Lets arrest the entire police force for aiding and abetting.,@AngryBlackLady @MattMurph24 In a world where you have to convince everyone where the community is comprised of crazed animals and unsafe.
@Angus_OL @vanilIapayne THATS THE LADY FROM THE VIDEO,@Angus_OL @vanilIapayne THATS THE LADY FROM THE VIDEO
@Angus_OL @vanilIapayne THATS THE LADY FROM THE VIDEO,@vanilIapayne @Angus_OL people escaping and it's all over mow
"@AnitaTeguh @BBCWorld @BBCNews 
And that time is now, they have brought it to us, they'll be sorry",@OZzSue @BBCWorld @BBCNews time we Australians say enough is enough to Muslim bs
"@AnitaTeguh @BBCWorld @BBCNews 
And that time is now, they have brought it to us, they'll be sorry",@AnitaTeguh @OZzSue @BBCWorld @BBCNews More Ammo to clean up militant Islamics inOzz   No more pussyfooting Diggers  Smack em down
"@AnitaTeguh @BBCWorld @BBCNews 
And that time is now, they have brought it to us, they'll be sorry","@OZzSue I'm sure it will happen here too, what part did you say u were from Hun? X"
@AnitaTeguh @OZzSue @BBCWorld @BBCNews More Ammo to clean up militant Islamics inOzz   No more pussyfooting Diggers  Smack em down,@OZzSue @BBCWorld @BBCNews fucking camel fuckers cowards picking on civilians
@anjalisidebar is it safe anywhere?,@FoxNews If only we could have got a sniper rifle aimed on his head idiots just don't know how to make things much better.
@AP chicken finally came home too roost... NATO.. started this in Afganistan....,@AP Sorry but does people probably will be dead by the end of the day as well as the Killers.
"@AP Not sure how taking a hostage says ""Martyr"".  Release the hostage, the french will then martyr you.","@AP Not sure how taking a hostage says ""Martyr"".  Release the hostage, the french will then martyr you."
@APH_Switzerland @PzFeed jesus and is sydney a place,@GoneSiIver @PzFeed isis stuff
@aprilritchey ;) Hey Aussie Sheeple wanna invade the middle east because of one wack job...:0,Deep inside @RT_com's #sydneysiege story was this  ➤ http://t.co/s9iyOw7fJC
@aprilritchey has already. .msm may start interviewing CrISIS actors soon. ..,@RT_com Thanks for sharing! You're now featured on http://t.co/aepl9siq4W
@aprilritchey when it started to appear on M$M the narrative was the same. ..Like say a Script..I mean 'goverMENt press release ..fishy..:(,@psc96180_pablo IT'S AN OLD TIRED STORY!!! WE GOTTA NIP THIS IN THE BUD!
"@aptronym @carolinemarcus Agree, but that image is a powerful encapsulation of how awful this whole thing is. Really brings it home.",@dkfcdotnet @carolinemarcus I'm just finding a lot of the gratuitous photo tweeting a bit of a strain.
"@aptronym @carolinemarcus I understand what you're saying but that would kind of defeat the purpose, apt.",@AlBearfaced @carolinemarcus @AbsntFriends @nswpolice some people have no heart taking selfies when around the area
@ArmedResearch @CindyPom Can you DM me the accounts too? I have some choice words,"@ArmedResearch anyways, thanks for the info."
@ArmedResearch @emerhughes4 for everyone else who doesn't want to read your whole timeline https://t.co/4TYnHVB8qR,@codywohlers @emerhughes4 Try reading my timeline instead of asking me to repeat myself.
@ArmedResearch @xSkylaStarx gross answer,"@ArmedResearch 

BBC News - Mr Merizier said that the attacker was of ""Arabic appearance"" and had ""long dark hair and a beard""."
"@ArmedResearch hi, where did you source this pic?",@CindyPom Follow me please. I will DM you.
"@ArmedResearch hi, where did you source this pic?",@BellaaFoxx @CindyPom He's already suspended.
@ArmedResearch Which accounts?,@matthewmreed The glare is right over the trigger guard but the barrel and hammer could be from a lever action.
"@ArrogantHair @SeanOsmar @darrellbricker It's not a hoax, but it also wasn't taken *after* the shooting.",@SeanOsmar @graciestyle this matches the photo tweeted earlier today from a tourist who says it was taken moments before the shooting. 1/2
@at_the_foxhole @TracyMo53321503 @zadiaz @mashable still unclear in the context of the shooting of an unarmed teen. But ok.,@drpolson @TracyMo53321503 @zadiaz @mashable low life scum I think
@at_the_foxhole @TracyMo53321503 @zadiaz @mashable still unclear in the context of the shooting of an unarmed teen. But ok.,"@TracyMo53321503 @at_the_foxhole @zadiaz @mashable I said teen not child but again, how is the pic relevant?"
@at_the_foxhole @TracyMo53321503 @zadiaz @mashable then what's the relevance?,@drpolson I think @TracyMo53321503 is saying: tough guy in pic is low life scum whether it's the late Mr. Brown or not  @zadiaz @mashable
@AvitalLeibovich do you have a link?,@talziv @Channel2News
@AvitalLeibovich I assume you mean niece?,@AvitalLeibovich Praying.
@AztlanConnect @DailyMailAU That's funny!!,"@DailyMailAU @joeleigh41 
 the BBC translated the Arabic letters on the headband and it says..""I CAN""T BREATHE!""...lol"
@BBCBreaking @BBCNewsAus i dont believe anyone could be posting updates if they r are a hostage...just saying...,"@BBCBreaking how irresponsible tweeting this info, putting innocent lives in jeopardy for a story..shame on you BBC"
@BBCBreaking @claudiapapo What Does He Know That We Don't? http://t.co/vhSxASUv01,@davis1087 @BBCBreaking All I can say is that we MUST support Israel &amp; the Jews.
@BBCBreaking @claudiapapo What Does He Know That We Don't? http://t.co/vhSxASUv01,@BBCBreaking @claudiapapo What Does He Know That We Don't? http://t.co/vhSxASUv01
"@BBCBreaking @raymondillo Yes, I can't believe this is happening...",@Gormanghast @BBCBreaking there are times we shld put our stupidness aside nd be feel bad fr wats happening at the moment...!!!!
@BBCBreaking Good! Kill 'em and quickly! The 144 are getting frustrated beyond belief waiting for them both!,"@BBCBreaking please don't starting saying these guys are marters, they are cold blooded murderers, you are fuelling what they want!"
@BBCBreaking It's been a rotten year for France so far...,King Felipe VI of Spain cancels state visit to France after #Germanwings crash http://t.co/kYlhfIJBRE http://t.co/ysPirvrA3i | @BBCBreaking
@BBCBreaking It's been a rotten year for France so far...,@BBCBreaking @CSWrite2Inspire
"@BBCBreaking Muslims, again.",“In pictures: the #SydneySiege http://t.co/rgrIsGCd5C Follow live updates: http://t.co/Po6NcBqYpk http://t.co/Rh608kuh24” rt@BBCBreaking
"@BBCBreaking No martyrs there, just cowards.",@SaeeinAhmad @BBCBreaking so if they’d stayed at the scene they would have been martyrs?
"@BBCBreaking please don't starting saying these guys are marters, they are cold blooded murderers, you are fuelling what they want!",@darrenjames61 @BBCBreaking put them through a wood chipper.
@BBCBreaking so let me get this straight. Sydney's being evacuated due to hostage situation in a cafe. Aussies are total pussies. #wtffff,@BBCBreaking and you thought reporting hostages are tweeting from inside would what?  keep them alive? SHUT YOUR RECKLESS MOUTH
@BBCBreaking so let me get this straight. Sydney's being evacuated due to hostage situation in a cafe. Aussies are total pussies. #wtffff,@bizzyunderscore you scumbag
@BBCBreaking suggest you change 'martyr' themselves to 'kill themselves' in your TV news text - don't dignify them,@BBCBreaking. Prepared to die as martyrs.?  Wat a joke !  They are murdering heathens. They have no financial Jihadist support either. Odd !
@BBCBreaking The Religion of Peace I am guessing.,"@BBCBreaking Why are the enforcement folks not wearing bullet proof helmets, while they wear bullet proof vests?"
@BBCBreaking there's an aldi fucking everywhere these days,@BBCBreaking @aqayehich follow through here
"@BBCBreaking They should tell them, no you'll just die as murderers, not martyrs",@BBCBreaking  rubbish! Martyrs don't run away they should have faced consequences immediately.
@BBCBreaking Tragic Not sure how @fhollande can be so sure no survivor's though #germanwings #Lufthansa,@BBCBreaking Tragic Not sure how @fhollande can be so sure no survivor's though #germanwings #Lufthansa
@BBCBreaking yes there were tweets from inside the cafe. I assume some the hostages had feelings of empathy and sympathy #stockholmsyndrome,"@BBCBreaking Hmm... 9/11 hijackers allowed outside contact, too. Hope police get them all out safe."
@BBCWorld @BBCNews The company that owns this Cafe in Sydney  refused the halal cert . Refuse halal and terrorists will target u.,@BBCWorld @CBCNews
@BBCWorld BUT WHY A FUCKING CAFE IN AUSTRALIA,"@BBCWorld Yeah, being forced to hold an ISIS flag. Why aren't you reporting that?"
@BBCWorld Just add the fact that they're holding a Isis flag for fuck sake,@OZzSue @AnitaTeguh @BBCWorld @BBCNews yeah i bet its awful
"@BBCWorld Yeah, being forced to hold an ISIS flag. Why aren't you reporting that?","@OZzSue we have Hun and it's not going to stop either, that's the frightening part x"
@beck_sullivan @Uber_Sydney Glad I'm not the only one who's confused ...,"@Uber_Sydney @Mr_Odin Yeah, I got that. Thank you for your great service."
@beck_sullivan Uber trips out of the CBD today are free to help Sydneysiders get home safely. See http://t.co/UIwoom25Bm,@Uber_Sydney @mtats Thanks uber! I got everyone here at work now downloading your app :)
@BellaaFoxx @CindyPom He's already suspended.,@ArmedResearch @emerhughes4 for everyone else who doesn't want to read your whole timeline https://t.co/4TYnHVB8qR
@Bhavdeepnama I don't have it.. why don't you try her here @NoopurTiwari,@GargiRawat Thank you for the reply mam. Really appreciate. I have tweeted @NoopurTiwari mam also.
@BigDilbertFan Call 911? Signal for help? Keep an eye out for the rescuers? Simply ask the people if there's anything he can do?,@BigDilbertFan Call 911? Signal for help? Keep an eye out for the rescuers? Simply ask the people if there's anything he can do?
@BigDilbertFan photography is his job? My whole issue was a man needed help. There are ways to help if you don't know cpr,"@tdgecas @Henderburn so yeah, expecting to get paid for doing his job seems pretty professional to me"
